candidate_id,rank,score,reasoning
CAND_0055905,1,0.989999,"Senior Machine Learning Engineer at Flipkart with 8.1 years; direct search/ranking project evidence; 12 of 13 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 95.7, Skill Evidence 93.5, Career Physics 91.6."
CAND_0041610,2,0.945558,"Recommendation Systems Engineer at Zoho with 6.7 years; direct search/ranking project evidence; 15 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 97.8, Skill Evidence 91.6, Career Physics 90.0."
CAND_0010685,3,0.921254,"NLP Engineer at Rephrase.ai with 6.7 years; direct search/ranking project evidence; 14 of 16 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 94.6, Skill Evidence 90.0, Career Physics 86.6."
CAND_0008425,4,0.890215,"Senior NLP Engineer at Ola with 7.8 years; direct search/ranking project evidence; 13 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 96.2, Skill Evidence 83.4, Career Physics 95.2. Notice period is 90 days."
CAND_0041669,5,0.880612,"Recommendation Systems Engineer at CRED with 8.0 years; direct search/ranking project evidence; 16 of 20 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 97.2, Skill Evidence 86.0, Career Physics 90.7."
CAND_0011687,6,0.880279,"Senior NLP Engineer at Niramai with 7.8 years; direct search/ranking project evidence; 13 of 13 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 90.5, Skill Evidence 96.7, Career Physics 78.3."
CAND_0079387,7,0.879252,"AI Engineer at Microsoft with 6.9 years; direct search/ranking project evidence; 16 of 20 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 95.8, Skill Evidence 85.5, Career Physics 91.1."
CAND_0049538,8,0.846517,"Applied ML Engineer at Saarthi.ai with 5.8 years; direct search/ranking project evidence; 15 of 17 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 93.3, Skill Evidence 90.0, Career Physics 87.7. Not currently marked open to work."
CAND_0077285,9,0.843131,"Recommendation Systems Engineer at Nykaa with 5.5 years; direct search/ranking project evidence; 12 of 15 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 92.4, Skill Evidence 84.3, Career Physics 91.3."
CAND_0002025,10,0.842868,"Senior AI Engineer at Apple with 5.9 years; direct search/ranking project evidence; 17 of 20 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 90.3, Skill Evidence 86.9, Career Physics 87.2."
CAND_0095528,11,0.838178,"Senior Data Scientist at Netflix with 5.3 years; direct search/ranking project evidence; 13 of 15 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 87.3, Skill Evidence 86.9, Career Physics 91.7."
CAND_0030031,12,0.836805,"AI Engineer at Microsoft with 5.7 years; direct search/ranking project evidence; 13 of 16 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 93.2, Skill Evidence 85.4, Career Physics 89.8. Not currently marked open to work."
CAND_0053591,13,0.836038,"AI Engineer at Ola with 5.3 years; direct search/ranking project evidence; 12 of 14 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 91.8, Skill Evidence 87.8, Career Physics 85.1."
CAND_0011432,14,0.828543,"Senior Data Scientist at Amazon with 7.6 years; direct search/ranking project evidence; 12 of 15 claimed skills supported; high current project complexity. Ensemble scores: WorkDNA 96.3, Skill Evidence 85.7, Career Physics 83.9."
CAND_0068811,15,0.820757,"Applied ML Engineer at Freshworks with 8.0 years; direct search/ranking project evidence; 14 of 19 claimed skills supported; strong capability velocity. Ensemble scores: WorkDNA 95.9, Skill Evidence 81.4, Career Physics 92.0."
